fighter_id,height,weight,reach,stance,dob,url
28,"6' 0""",185 lbs.,--,,"Feb 10, 1988",http://ufcstats.com/fighter-details/501821d7fb7b95c1
29,"5' 10""",185 lbs.,--,,--,http://ufcstats.com/fighter-details/6cadc0a0ba7dc015
30,"5' 3""",115 lbs.,"63""",Orthodox,"May 08, 1982",http://ufcstats.com/fighter-details/8f382b3baa954d2a
31,"5' 7""",155 lbs.,"73""",Orthodox,"Sep 07, 1988",http://ufcstats.com/fighter-details/cf946e03ba2e7666
32,"5' 4""",125 lbs.,"62""",Orthodox,"Mar 13, 1996",http://ufcstats.com/fighter-details/c051c2e12d692b8a
33,"5' 9""",170 lbs.,"72""",Switch,"Nov 25, 1991",http://ufcstats.com/fighter-details/ae071698e1a3ccd4
34,"5' 9""",135 lbs.,"74""",Southpaw,"Jan 15, 1996",http://ufcstats.com/fighter-details/0978385b2bd9ef9b
35,"5' 9""",125 lbs.,"67""",Switch,"Apr 07, 2005",http://ufcstats.com/fighter-details/b2efa582adf73604
36,--,145 lbs.,--,,--,http://ufcstats.com/fighter-details/ff584c17bccbae0b
37,"5' 9""",155 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a
38,"5' 8""",135 lbs.,"71""",Switch,"Jun 19, 1994",http://ufcstats.com/fighter-details/49dea784f6cfed71
39,"5' 4""",135 lbs.,--,Southpaw,"Jul 27, 1974",http://ufcstats.com/fighter-details/2eada40ac8801559
40,"6' 0""",185 lbs.,"73""",Orthodox,"Oct 12, 1987",http://ufcstats.com/fighter-details/16690d100f995f8f
41,"5' 10""",170 lbs.,"75""",Orthodox,"Jul 29, 1975",http://ufcstats.com/fighter-details/b0550072e5f0afa7
42,"5' 10""",170 lbs.,"72""",Switch,"Dec 19, 1991",http://ufcstats.com/fighter-details/1fc64507a0cb38cf
43,"6' 2""",205 lbs.,--,Orthodox,"May 14, 1982",http://ufcstats.com/fighter-details/38b50fd1e1b5b656
44,"5' 8""",155 lbs.,"69""",Orthodox,"Apr 10, 1995",http://ufcstats.com/fighter-details/597499ac7a5aac62
45,"6' 2""",245 lbs.,"77""",Orthodox,"Jul 14, 1973",http://ufcstats.com/fighter-details/1cf1310684a841f5
46,"6' 2""",205 lbs.,"75""",Orthodox,"Jun 07, 1991",http://ufcstats.com/fighter-details/7578cc6bd750206b
47,"5' 6""",135 lbs.,--,,--,http://ufcstats.com/fighter-details/2144954270be834d
48,"5' 5""",135 lbs.,"66""",Orthodox,"Dec 14, 1991",http://ufcstats.com/fighter-details/1897b7b913736a7c
49,"5' 5""",125 lbs.,"68""",Orthodox,"Oct 27, 1993",http://ufcstats.com/fighter-details/6d35bf94f7d30241
50,--,225 lbs.,--,,--,http://ufcstats.com/fighter-details/9b28292abe3166d5
51,"5' 8""",135 lbs.,"68""",Orthodox,"Oct 13, 1986",http://ufcstats.com/fighter-details/7bd94b60d7521e4a
52,"6' 3""",264 lbs.,"74""",Orthodox,"Mar 15, 1991",http://ufcstats.com/fighter-details/c482c8605455a213
53,"5' 10""",188 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/184b955181bdef52
54,"5' 2""",115 lbs.,"63""",Orthodox,"Jul 14, 1990",http://ufcstats.com/fighter-details/e76d9f656ceb82ab
55,--,185 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/dd1b90eea08887f6
56,--,--,--,,--,http://ufcstats.com/fighter-details/39f62b833e4cf126
57,"5' 9""",135 lbs.,"71""",Southpaw,"Aug 04, 1980",http://ufcstats.com/fighter-details/2f95a3c6d58b2aad
58,"6' 2""",185 lbs.,"78""",Orthodox,"Nov 18, 1982",http://ufcstats.com/fighter-details/7c6e87729e824ef4
59,"5' 3""",145 lbs.,--,,"Jun 10, 1970",http://ufcstats.com/fighter-details/1e38bba6738b7b10
60,"6' 1""",250 lbs.,--,Orthodox,"Aug 25, 1977",http://ufcstats.com/fighter-details/d26934530dc5b248
61,"5' 9""",135 lbs.,"68""",Orthodox,"Mar 26, 1988",http://ufcstats.com/fighter-details/578ef12674df1e6a
62,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 17, 1988",http://ufcstats.com/fighter-details/c487223b0289bda9
63,"5' 7""",135 lbs.,"68""",Orthodox,"Sep 14, 1991",http://ufcstats.com/fighter-details/7460ddef986d3144
64,"5' 7""",135 lbs.,"70""",Orthodox,"Sep 09, 1986",http://ufcstats.com/fighter-details/d0f3959b4a9747e6
65,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 29, 1992",http://ufcstats.com/fighter-details/6fd953151d981979
66,"5' 8""",135 lbs.,"67""",Orthodox,"Jun 27, 1990",http://ufcstats.com/fighter-details/103e2e33a60683e1
67,"5' 1""",115 lbs.,"58""",Orthodox,"Oct 17, 1990",http://ufcstats.com/fighter-details/d35298b6df168456
68,"5' 9""",145 lbs.,"71""",Orthodox,"Oct 14, 1986",http://ufcstats.com/fighter-details/fe5a9547479396ab
69,"5' 10""",155 lbs.,"72""",Orthodox,"Jul 05, 1979",http://ufcstats.com/fighter-details/7a15f3694c5cbc02
70,"6' 0""",205 lbs.,"72""",Orthodox,"Mar 22, 1972",http://ufcstats.com/fighter-details/0541480fbf719d86
71,"5' 9""",155 lbs.,--,Orthodox,"Sep 25, 1977",http://ufcstats.com/fighter-details/8fd76e1b49c00ae2
72,"5' 11""",145 lbs.,"73""",Orthodox,"Jul 28, 1995",http://ufcstats.com/fighter-details/11583163f45c7b31
73,"6' 0""",185 lbs.,"75""",Southpaw,"May 05, 1989",http://ufcstats.com/fighter-details/d53482bef23235ba
74,"6' 2""",170 lbs.,--,Orthodox,"Aug 06, 1974",http://ufcstats.com/fighter-details/b757c73f443d4fca
75,"5' 8""",145 lbs.,--,,"May 09, 1983",http://ufcstats.com/fighter-details/4b37a0bc2ab4cae1
76,--,--,--,,--,http://ufcstats.com/fighter-details/41b34b7f11f6d085
77,"6' 0""",145 lbs.,"73""",Switch,"Jun 09, 1989",http://ufcstats.com/fighter-details/9abc648e76c4493a
78,"5' 10""",199 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/669a3cb6e394f515
79,"6' 3""",250 lbs.,--,,"Jun 10, 1984",http://ufcstats.com/fighter-details/e17770faae3ca54c
80,"5' 11""",170 lbs.,"74""",Orthodox,"Sep 17, 1984",http://ufcstats.com/fighter-details/e70de1859b7ee78e
81,"5' 10""",155 lbs.,"72""",Orthodox,"Dec 08, 2000",http://ufcstats.com/fighter-details/ca28cdf526d6b6e9
82,"6' 0""",185 lbs.,"76""",Southpaw,"Dec 07, 1992",http://ufcstats.com/fighter-details/b07aed698fba8624
83,"6' 0""",185 lbs.,"74""",Orthodox,"Jul 14, 1989",http://ufcstats.com/fighter-details/6db394bf6c3b017c
84,"6' 1""",205 lbs.,"75""",Orthodox,"Feb 22, 1993",http://ufcstats.com/fighter-details/6ebe96a116e79e52
85,"6' 2""",205 lbs.,--,Open Stance,"Jan 13, 1967",http://ufcstats.com/fighter-details/1e13936d708bcff7
86,"5' 8""",145 lbs.,"70""",Southpaw,"Jan 22, 1994",http://ufcstats.com/fighter-details/040a74bb0a465c54
87,"6' 2""",185 lbs.,"75""",Orthodox,"Dec 28, 1995",http://ufcstats.com/fighter-details/2f181c0467965b98
88,"6' 0""",155 lbs.,"75""",Southpaw,"Aug 10, 1992",http://ufcstats.com/fighter-details/adf9a901308fb8e3
89,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 19, 1981",http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb
90,"5' 4""",125 lbs.,"65""",Orthodox,"Jan 25, 1994",http://ufcstats.com/fighter-details/8d3273573b85be09
91,"5' 7""",135 lbs.,"68""",Orthodox,"Oct 08, 1997",http://ufcstats.com/fighter-details/a4dc0f2b95df4cc1
92,"5' 7""",125 lbs.,"67""",Southpaw,"Mar 22, 2004",http://ufcstats.com/fighter-details/088aa1b19b2dc14a
93,"6' 0""",170 lbs.,"74""",Orthodox,"Nov 29, 1976",http://ufcstats.com/fighter-details/91186547a7f3f758
94,"6' 0""",155 lbs.,--,,"Jun 06, 1985",http://ufcstats.com/fighter-details/d615d6a10a4704cd
95,"5' 7""",145 lbs.,"70""",Southpaw,"Jul 31, 1991",http://ufcstats.com/fighter-details/2b074403b7c6cdb4
96,"5' 6""",115 lbs.,--,Orthodox,"Mar 05, 1989",http://ufcstats.com/fighter-details/67a992d4cff22466
97,"5' 4""",125 lbs.,--,Orthodox,"Oct 17, 1988",http://ufcstats.com/fighter-details/f16ddfa31236efed
98,"6' 3""",205 lbs.,"79""",Orthodox,"Jun 26, 1991",http://ufcstats.com/fighter-details/41e83a89929d1327
99,"5' 11""",145 lbs.,"71""",Orthodox,"Jan 31, 1991",http://ufcstats.com/fighter-details/710f0f8c5d5c9d41
100,"6' 1""",185 lbs.,"74""",Orthodox,"Mar 28, 1988",http://ufcstats.com/fighter-details/64d47ef881a437a4
101,"6' 2""",170 lbs.,--,,"Feb 27, 1980",http://ufcstats.com/fighter-details/c6bf75775b278ed8
102,"5' 4""",135 lbs.,"63""",Southpaw,"Jun 01, 1991",http://ufcstats.com/fighter-details/49b130de1da2e1bf
103,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 23, 1990",http://ufcstats.com/fighter-details/e87a13e02c01331d
104,"5' 10""",170 lbs.,--,,--,http://ufcstats.com/fighter-details/c61b49cec6abd6b9
105,"5' 8""",125 lbs.,"70""",Switch,"Jan 23, 1991",http://ufcstats.com/fighter-details/dc7927cd622676a7
106,"5' 10""",185 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/c11036da9162cb5f
107,"5' 4""",115 lbs.,"64""",Orthodox,"May 08, 1996",http://ufcstats.com/fighter-details/430c533614d45813
108,"6' 0""",235 lbs.,--,Orthodox,"Jul 14, 1971",http://ufcstats.com/fighter-details/e741536153227386
109,"5' 9""",155 lbs.,"69""",Orthodox,"Jan 11, 1984",http://ufcstats.com/fighter-details/33a331684283900f
110,"5' 8""",125 lbs.,"69""",Orthodox,"Mar 08, 1988",http://ufcstats.com/fighter-details/4438482bd1d5a029
111,"6' 3""",155 lbs.,"77""",Orthodox,"Mar 02, 1993",http://ufcstats.com/fighter-details/58bbef3770bb2dfc
112,"5' 9""",170 lbs.,"70""",Orthodox,"Oct 03, 1983",http://ufcstats.com/fighter-details/31ee470ef5dc8d7f
113,--,--,--,,--,http://ufcstats.com/fighter-details/bd92cf5da5413d2a
114,"6' 0""",170 lbs.,--,Southpaw,"Aug 08, 1988",http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc
115,"5' 11""",185 lbs.,"72""",Orthodox,"Jan 04, 1991",http://ufcstats.com/fighter-details/d317a5e2b3f88c5f
116,"5' 8""",155 lbs.,"68""",Orthodox,"Nov 14, 1990",http://ufcstats.com/fighter-details/029afd138865d20a
117,"6' 2""",185 lbs.,"75""",Southpaw,"May 06, 1986",http://ufcstats.com/fighter-details/d156513a19acf856
118,--,170 lbs.,--,Orthodox,"Dec 27, 1996",http://ufcstats.com/fighter-details/f4abf9aeda861283
119,"6' 2""",205 lbs.,"78""",Orthodox,"Jan 11, 1994",http://ufcstats.com/fighter-details/86c1441676af2c73
120,"6' 0""",154 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/20821819c401ced8
121,"6' 2""",170 lbs.,"76""",Orthodox,"Oct 30, 1986",http://ufcstats.com/fighter-details/1e327b281ef6a745
122,"5' 5""",115 lbs.,--,Southpaw,"Jul 11, 1987",http://ufcstats.com/fighter-details/247fbbfafea60bb1
123,--,185 lbs.,--,,--,http://ufcstats.com/fighter-details/ee0b69e307c857e5
124,"6' 2""",315 lbs.,--,Southpaw,"Jan 26, 1970",http://ufcstats.com/fighter-details/c912f676692c353a
125,"5' 10""",170 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/d562b12b8fe88336
126,"5' 10""",185 lbs.,"74""",Orthodox,"Apr 06, 1988",http://ufcstats.com/fighter-details/70fa1c64a2c439ef
127,"5' 9""",145 lbs.,"70""",Switch,"May 28, 1990",http://ufcstats.com/fighter-details/41cc71cbf210e0fe
128,--,145 lbs.,--,,"Jun 15, 2003",http://ufcstats.com/fighter-details/6c40705cf6c0d7e2
129,"5' 10""",145 lbs.,"72""",Southpaw,"Nov 08, 1988",http://ufcstats.com/fighter-details/87a1dc546b1c5caf
130,"5' 3""",115 lbs.,"68""",Orthodox,"Jun 24, 1995",http://ufcstats.com/fighter-details/bc7d1ad49fcb2d08
131,"5' 8""",190 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/53adf5b845d91e4a
132,"5' 11""",185 lbs.,--,Orthodox,"Nov 21, 1985",http://ufcstats.com/fighter-details/23a8c33869bf5392
133,"6' 1""",185 lbs.,"75""",Southpaw,"Apr 21, 1987",http://ufcstats.com/fighter-details/cad24459b28592ca
134,"6' 2""",230 lbs.,--,Southpaw,"May 29, 1971",http://ufcstats.com/fighter-details/8738eacd62e82a32
135,"5' 6""",240 lbs.,--,,"Jul 16, 1974",http://ufcstats.com/fighter-details/9199e0735b83dd32
136,"5' 6""",160 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/1ffc38f67785797b
137,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 22, 1989",http://ufcstats.com/fighter-details/5e4eec08896c9423
138,"6' 0""",155 lbs.,--,,"Feb 02, 1990",http://ufcstats.com/fighter-details/19ba965651486013
139,"6' 0""",145 lbs.,"72""",Orthodox,"Feb 11, 1990",http://ufcstats.com/fighter-details/a0e75f4a13eb73f1
140,"6' 3""",185 lbs.,"75""",Orthodox,"Jan 13, 1995",http://ufcstats.com/fighter-details/b03a0c78ca45facf
141,"5' 4""",145 lbs.,"68""",Southpaw,"Apr 26, 1990",http://ufcstats.com/fighter-details/17615148dd4be6f6
142,"5' 11""",200 lbs.,--,Orthodox,"May 14, 1974",http://ufcstats.com/fighter-details/1562b12763cc8d67
143,"5' 1""",115 lbs.,"62""",Orthodox,"Sep 25, 1991",http://ufcstats.com/fighter-details/6a1901c62ab3870f
144,"5' 11""",170 lbs.,"75""",Orthodox,"Mar 08, 1984",http://ufcstats.com/fighter-details/d221ee27afc7a60e
145,"5' 7""",200 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/9bad58fa651d6196
146,--,--,--,,"Oct 24, 1994",http://ufcstats.com/fighter-details/7977fb0fd9c5955d
147,"6' 1""",185 lbs.,"74""",Switch,"Nov 15, 1979",http://ufcstats.com/fighter-details/00debc804e2b1cd4
148,"6' 0""",205 lbs.,--,Orthodox,"Mar 31, 1973",http://ufcstats.com/fighter-details/46e2ca71fd5089cb
149,"5' 7""",145 lbs.,"68""",Orthodox,"Jan 13, 1989",http://ufcstats.com/fighter-details/d6a3e131ad4ba064
150,"6' 3""",205 lbs.,--,Orthodox,"Jul 23, 1991",http://ufcstats.com/fighter-details/e20ad078a7d63361
151,"5' 9""",145 lbs.,"71""",Orthodox,"Feb 20, 1993",http://ufcstats.com/fighter-details/047a91d3d9c79b05
152,"5' 6""",135 lbs.,"64""",Orthodox,"Dec 01, 1986",http://ufcstats.com/fighter-details/c7c39e2fb70248b3
153,"5' 11""",205 lbs.,--,Orthodox,"Mar 28, 1967",http://ufcstats.com/fighter-details/e06fd1260ac865a7
154,"6' 3""",205 lbs.,"75""",Orthodox,"Jun 02, 1992",http://ufcstats.com/fighter-details/d802174b0c0c1f4e
155,"5' 11""",205 lbs.,"70""",Orthodox,"Feb 09, 1987",http://ufcstats.com/fighter-details/af997f7611673880
156,"5' 5""",125 lbs.,"63""",Orthodox,"Feb 28, 1982",http://ufcstats.com/fighter-details/25b31165758402dd
157,--,205 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/dbd198f780286aca
158,"6' 0""",170 lbs.,"72""",Orthodox,"Dec 28, 1994",http://ufcstats.com/fighter-details/cc49ada1ea955b13
159,"6' 1""",251 lbs.,--,Orthodox,"Aug 05, 1981",http://ufcstats.com/fighter-details/78d48d3874dacafd
160,"5' 7""",170 lbs.,"70""",Orthodox,"Dec 01, 1985",http://ufcstats.com/fighter-details/4665f9f909cd7214
161,"5' 6""",145 lbs.,"68""",Orthodox,"Jan 21, 1997",http://ufcstats.com/fighter-details/031da10a00c8ccd4
162,"5' 11""",154 lbs.,--,Southpaw,"May 09, 1983",http://ufcstats.com/fighter-details/79ded75550efc139
163,"5' 7""",135 lbs.,"69""",Orthodox,"Jun 25, 1993",http://ufcstats.com/fighter-details/7d420039bbfe7c1a
164,"5' 10""",255 lbs.,--,Southpaw,"Jun 19, 1983",http://ufcstats.com/fighter-details/0c1a04afca64e38f
165,"6' 0""",170 lbs.,--,Orthodox,"Aug 26, 1977",http://ufcstats.com/fighter-details/1ccff7f0cfdf85eb
166,"5' 10""",145 lbs.,--,Southpaw,"Oct 05, 1979",http://ufcstats.com/fighter-details/269d103c96a4c3a5
167,"5' 10""",170 lbs.,--,Orthodox,"Dec 02, 1977",http://ufcstats.com/fighter-details/73ef22f25d0f70e2
168,"5' 8""",135 lbs.,"73""",Orthodox,"Feb 09, 1988",http://ufcstats.com/fighter-details/71002dbc1743b9a7
169,"6' 1""",170 lbs.,"77""",Orthodox,"Dec 06, 1980",http://ufcstats.com/fighter-details/dbea8c1cb327ab3d
170,"5' 4""",125 lbs.,"68""",Orthodox,"Nov 21, 1986",http://ufcstats.com/fighter-details/36541f1e6c5d4955
171,"5' 7""",145 lbs.,"70""",Southpaw,"Oct 27, 1989",http://ufcstats.com/fighter-details/1291edf2d566a71a
172,"5' 8""",145 lbs.,--,,"Oct 15, 1981",http://ufcstats.com/fighter-details/d25e39e74efb0a77
173,"5' 3""",115 lbs.,"62""",Orthodox,"Apr 19, 1992",http://ufcstats.com/fighter-details/87f8699fdcc2c404
174,--,155 lbs.,--,,--,http://ufcstats.com/fighter-details/9c9455912d917e4e
175,--,170 lbs.,--,,"Jan 29, 1993",http://ufcstats.com/fighter-details/db3c4a884d704efe
176,"5' 7""",135 lbs.,"68""",Southpaw,"Aug 13, 1993",http://ufcstats.com/fighter-details/e4ba58725825412d
177,--,155 lbs.,--,,--,http://ufcstats.com/fighter-details/90063913321e7670
178,"6' 2""",185 lbs.,"75""",Orthodox,"Sep 11, 1989",http://ufcstats.com/fighter-details/9a7ffa80766caa51
179,"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979",http://ufcstats.com/fighter-details/3738e68d2261e60f
180,"5' 6""",135 lbs.,"70""",Orthodox,"Oct 09, 1996",http://ufcstats.com/fighter-details/1effd880e1f1bb30
181,--,--,--,,--,http://ufcstats.com/fighter-details/30ad2050273d016a
182,"6' 0""",145 lbs.,"72""",Orthodox,"Oct 22, 1991",http://ufcstats.com/fighter-details/bf0e700106d00e55
183,"5' 11""",205 lbs.,--,Orthodox,"Jul 17, 1978",http://ufcstats.com/fighter-details/05fbfe628658c538
184,"5' 10""",185 lbs.,"72""",Orthodox,"Jun 06, 1996",http://ufcstats.com/fighter-details/a90c200c3fbb22c4
185,"5' 11""",205 lbs.,--,Orthodox,"May 28, 1975",http://ufcstats.com/fighter-details/770b9d4813c25902
186,"5' 10""",155 lbs.,"71""",Southpaw,"Jan 14, 1983",http://ufcstats.com/fighter-details/c136b2a8852da5bd
187,"5' 10""",170 lbs.,"72""",Orthodox,"Sep 01, 1982",http://ufcstats.com/fighter-details/de62052b2ede65ba
188,"6' 3""",185 lbs.,"73""",Orthodox,"Jul 01, 1989",http://ufcstats.com/fighter-details/61fb8098ccf81c7f
189,"5' 9""",190 lbs.,--,Southpaw,--,http://ufcstats.com/fighter-details/2dea80c069847321
190,"5' 7""",125 lbs.,--,,--,http://ufcstats.com/fighter-details/91e3388e69060e69
191,"5' 11""",155 lbs.,--,Orthodox,"Jan 31, 1991",http://ufcstats.com/fighter-details/49f78022126bf4a4
192,"5' 8""",125 lbs.,"69""",Orthodox,"Oct 31, 1993",http://ufcstats.com/fighter-details/d33da8a3d82bdb62
193,"6' 1""",185 lbs.,"73""",Switch,"Dec 27, 1989",http://ufcstats.com/fighter-details/a373085066dbfb54
194,"5' 6""",125 lbs.,--,,"Jan 14, 1992",http://ufcstats.com/fighter-details/d26a0988c9dc9886
195,"5' 9""",155 lbs.,"69""",Orthodox,"Mar 31, 1995",http://ufcstats.com/fighter-details/c739c2995a275314
196,"5' 6""",135 lbs.,--,,"Jul 31, 1992",http://ufcstats.com/fighter-details/8be9deb7d6b36354
197,"5' 7""",145 lbs.,"69""",Orthodox,"Aug 19, 1994",http://ufcstats.com/fighter-details/2abc414136504554
198,"5' 6""",125 lbs.,"67""",Orthodox,"Oct 09, 1992",http://ufcstats.com/fighter-details/b1d19449397541dc
199,"6' 0""",247 lbs.,"74""",Orthodox,"Dec 24, 1985",http://ufcstats.com/fighter-details/9be6020024133293
200,"5' 8""",145 lbs.,"69""",Orthodox,"Feb 13, 1995",http://ufcstats.com/fighter-details/5c10da56d712ac9c
201,"6' 3""",185 lbs.,"75""",Southpaw,"May 20, 1988",http://ufcstats.com/fighter-details/06827d70c53ff0d9
202,"5' 11""",170 lbs.,"73""",Orthodox,"Jul 18, 1984",http://ufcstats.com/fighter-details/0b31f87be71ebbb1
203,"6' 3""",205 lbs.,"77""",Orthodox,"Apr 23, 1996",http://ufcstats.com/fighter-details/6e8f1bcdda94ff45
204,"6' 5""",256 lbs.,"78""",Orthodox,"Apr 11, 1993",http://ufcstats.com/fighter-details/399afbabc02376b5
205,"6' 5""",261 lbs.,"78""",Orthodox,"Jul 16, 1998",http://ufcstats.com/fighter-details/e56cee1ad697db04
206,"6' 2""",185 lbs.,--,Orthodox,"May 23, 1992",http://ufcstats.com/fighter-details/ff222167cce02919
207,"5' 9""",145 lbs.,"72""",Orthodox,"Jun 24, 1981",http://ufcstats.com/fighter-details/d0d7160824278840
208,"5' 5""",135 lbs.,"66""",Orthodox,"Jul 19, 1982",http://ufcstats.com/fighter-details/2f13e4020cea5b38
209,"5' 8""",145 lbs.,"69""",Orthodox,"Sep 27, 2000",http://ufcstats.com/fighter-details/01c9e4013afce141
210,"6' 1""",230 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/fd7acf42bd6e7e95
211,"5' 10""",170 lbs.,"72""",Orthodox,"Jun 16, 1977",http://ufcstats.com/fighter-details/210935fd21670f6d
212,"5' 9""",155 lbs.,"70""",Southpaw,"Feb 23, 1989",http://ufcstats.com/fighter-details/55ee431411ccf07a
213,"6' 0""",155 lbs.,--,Orthodox,"Apr 16, 1986",http://ufcstats.com/fighter-details/196ed28337adc630
214,"6' 3""",251 lbs.,--,,"Mar 28, 1992",http://ufcstats.com/fighter-details/4d3b08ab127c7585
215,"5' 10""",155 lbs.,"74""",Orthodox,"Aug 18, 1973",http://ufcstats.com/fighter-details/04643fd03d9159cc
216,"5' 9""",185 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/956dcac65e7b34d6
217,"6' 0""",170 lbs.,"74""",Orthodox,"Jun 30, 1983",http://ufcstats.com/fighter-details/8753e125f4499816
218,"6' 1""",170 lbs.,--,,"May 17, 1982",http://ufcstats.com/fighter-details/ba5c6eeb8ef45f5c
219,"5' 7""",145 lbs.,--,,"Dec 29, 1988",http://ufcstats.com/fighter-details/033d19259f589457
220,"5' 10""",145 lbs.,--,Orthodox,"Jan 16, 1993",http://ufcstats.com/fighter-details/4665cbf36b08193b
221,"5' 7""",135 lbs.,"68""",Orthodox,"May 11, 1988",http://ufcstats.com/fighter-details/86d9dbe1bfcbade7
222,"5' 11""",155 lbs.,--,,"Jun 07, 1983",http://ufcstats.com/fighter-details/da603332ad41f165
223,"6' 1""",265 lbs.,--,,"Aug 20, 1988",http://ufcstats.com/fighter-details/26387c19f32dda0f
224,"6' 0""",155 lbs.,"73""",Orthodox,"May 31, 1992",http://ufcstats.com/fighter-details/6eaec40f724852f4
225,"5' 9""",185 lbs.,"76""",Orthodox,"Mar 10, 1986",http://ufcstats.com/fighter-details/46d0a888d87d91ac
226,"5' 8""",155 lbs.,"71""",Switch,"Feb 20, 1990",http://ufcstats.com/fighter-details/ee18ff42063174df
227,"5' 9""",154 lbs.,--,Orthodox,"Jun 10, 1976",http://ufcstats.com/fighter-details/063649e21bc9d6d5
228,"6' 3""",161 lbs.,--,Orthodox,"Jun 25, 1981",http://ufcstats.com/fighter-details/9bcfb40dbcd50568
229,"5' 8""",145 lbs.,"69""",Orthodox,"Mar 02, 1992",http://ufcstats.com/fighter-details/2af2f2e26c4c0402
